comment_id,author,text,like_count,published_at,video_id,video_title
UgzCWEQABAogMg7Sj8B4AaABAg,@hunngryento,"Rule of Acquisition #34: War is good for business.
Rule of Acquisition #35: Peace is good for business.",1035,2025-06-20T16:26:10Z,vl156QpXr5g,The Impact of War on Markets and the Economy
Ugyds0w9H6jWobj1xE94AaABAg,@Yells_at_Cloud,Won't somebody think about the innocent portfolios?,151,2025-06-20T17:33:42Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgyRnxx6qw-4I-eJ_v94AaABAg,@joeyb3721,"Wait, you're saying the performance of my portfolio is NOT the most important thing when it comes to inhumane global conflicts? Man, this economy channel has fallen off. I used to respect you, Mister Bagel Man...",909,2025-06-20T16:24:11Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgzpZ3VZCQgj3AdMPyp4AaABAg,@TheLordRumfish,"In the broadest terms, war tends to destroy materials and labor, particularly for the losing side.  It's almost like throwing money in a furnace in order to refine slag from it.  It's not guaranteed to be bad for business, but it probably is.",144,2025-06-20T23:44:41Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgwCv1hluJLlXJBMZZl4AaABAg,@Acerelado,"Impeccable timing on this one, Richard. Actually, would've been perfect if you've waited 6 more hours or so haha",54,2025-06-22T12:20:47Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgyjlX7VcUyB7WC9NAZ4AaABAg,@domicceareal5234,"Thanks.

You be safe out there as well, man.",31,2025-06-20T22:26:32Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgwKEgo94J9-eCkmq5p4AaABAg,@RaandomLeftist,"Hi, from two days later",4,2025-06-22T15:20:45Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgzwZWPSe3TK75c5ZOZ4AaABAg,@phillipyangmusic,Video release... Good Timing ?,6,2025-06-22T14:14:04Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgxyoqrIy8XhAPFbZUp4AaABAg,@JohnDoe-r6p,"If someone is pro-war because of GDP increase... guys, you can do the same with increased government speding. Is that wise? I don't know. Is that wiser than going to war? In every facet, yes.",62,2025-06-21T03:11:48Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgzjmFWJb4RVqfCOqJV4AaABAg,@AdamMoscoe,"Excellent video, Richard! Looking forward to more. Appreciate the superb sources you bring out.",2,2025-07-10T13:10:59Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgyTCqacJALy1TOc--p4AaABAg,@thedestroyerofhats,"Surely the tech level also matters, if your making thousands of world war 2 era tanks in a factory that was retooled from making something actual useful like cars using a ton of workforce there is utility. A bunch of people learned a bunch of skills directly applicable after the war and the facilities and capital stuff can probably be switched to be used for useful stuff later. 

Modern weapons aren't like that at all. Hyper specialized fiddly equipment made slowly and expensively at dedicated facilities built in peace time (which don't seem to be able to scale up very well when a war actually happens). They can't even turn the line off because then the capacity fades away almost immediately. Drone production and infantry equipment seems to have been the only thing that can actually scale. Like neither side has been able to scale up simple artillery shell production to necessary levels in 3 years.",63,2025-06-20T16:53:40Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgwNlMFANwmPDQqbs9h4AaABAg,@cryptoricardo,Quick FYI: both the Israel and Iran equities markets are at or near all-time highs,6,2025-06-20T23:06:07Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgyhXCyfhQO3nYovQN54AaABAg,@thejackbancroft7336,Fuckin good timing on this one,3,2025-06-22T03:28:11Z,vl156QpXr5g,The Impact of War on Markets and the Economy
Ugya8d3N9RuDYAR-VC54AaABAg,@3aloyforever,"with regards to the nominal gold price vs war graph @13:18, there is a mistake as it stated that around the 1990 it was ""Iran's invasion of Kuwait"" when it should actually say the ""Iraq's invasion of Kuwait"" as that was the start of the of the Arab war.",6,2025-06-20T22:58:41Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgwWplcbDcwNYZx3Gwl4AaABAg,@florianlipp5452,"Why war might stimulate production and thus GDP seems pretty obvious.
But GDP might be a misleading metric in this case.

Much better suited to measure economic prosperity (particularly in this case) would be NDP (net domestic product).

NDP = GDP minus depreciation of assets.
Therefore, NDP takes into account all the assets lost because of war, such as destroyed houses or infrastructure (as well as destroyed fighting vehicles etc.).
And frankly, I don't see how an acitivity that acively destroys assets can  be ultimately beneficial to the combined NDP of all combatants.",32,2025-06-20T18:23:36Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgzBb6mzADvb2S4EbTF4AaABAg,@TheRealStevenPolley,Thank you Richard,6,2025-06-20T20:04:49Z,vl156QpXr5g,The Impact of War on Markets and the Economy
Ugx8V5BbTzXJNJHC0gd4AaABAg,@RyanTeo,I think one of the biggest factors that affects economic growth or decline is whether your country has won the war.,3,2025-06-21T02:33:59Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgwSpFtvylOwqsNuAzB4AaABAg,@sarcasmo57,War is dumb.,43,2025-06-20T23:23:18Z,vl156QpXr5g,The Impact of War on Markets and the Economy
Ugwpyymu-MGQNZDlwd14AaABAg,@smashergaming7711,this is a really great video. Gives really great context. Thanks for making it.,12,2025-06-20T18:43:42Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgxZYjSHDECXBniFsQJ4AaABAg,@TheJaseku,One of your best videos.,5,2025-06-21T16:10:43Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgyIlmeFOWM8Wh4Klop4AaABAg,@itscaptainterry,The squirrel encounter is amazing.,0,2025-06-21T02:51:56Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgwBo6zxGS5vnyO7pjl4AaABAg,@Slugbunny,The Complex is always grinding.,1,2025-06-21T07:38:41Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgwzIfCj1uK_7_g1jEd4AaABAg,@AlexanderMastrian,How money works brought me to your channel.,0,2025-06-30T14:21:05Z,vl156QpXr5g,The Impact of War on Markets and the Economy
Ugx7XvOvPe7Ls3l1jU14AaABAg,@LegaliseFinland,Incredibly valuable information,1,2025-06-21T05:24:48Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgzDQNwkAv6JCwzf8kV4AaABAg,@benkirshenblatt7877,"It's an interesting but tragic tradeoff, especially when you consider the demand for metals and energy commodities.",0,2025-06-29T17:14:23Z,vl156QpXr5g,The Impact of War on Markets and the Economy
Ugzcr744oCjht_Q72A94AaABAg,@dadpool1237,Now this is IMPORTANT video.,1,2025-06-20T17:23:08Z,vl156QpXr5g,The Impact of War on Markets and the Economy
Ugzzv9jR06uYk63Itcp4AaABAg,@FinancialClout,Elite timing,2,2025-06-22T05:06:12Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgxnqjGfA8kpvkv0rn54AaABAg,@klafbang,Surprising to not hear the broken window fallacy mentioned as part of the discussion,0,2025-06-22T15:36:24Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgxYyd5bZou4JTL2FGN4AaABAg,@SatishDhurwey-nj1jc,"Bellarium network’s transaction fees are negligible, which means higher adoption potential. Projects that solve user pain points stand the best chance of mass usage.",0,2025-07-05T19:41:50Z,vl156QpXr5g,The Impact of War on Markets and the Economy
Ugzi-Q3WBX7eQmuL1m94AaABAg,@flavvsdasilver6442,It's like you read my mind,0,2025-06-22T09:16:21Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgyNRhp3G1xnHwbW1554AaABAg,@1030media,broken window fallacy?,2,2025-06-20T17:02:12Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgxNuEKAWUGspyDazA94AaABAg,@Defy_Convention,can't wait to buy the dip tomorrow,0,2025-06-22T16:39:21Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgwRHg0WoGX8HdlgNh54AaABAg,@marsrobotcs,Thanks Bagel,1,2025-06-21T01:01:17Z,vl156QpXr5g,The Impact of War on Markets and the Economy
Ugzo0buneKIwCY1QAEF4AaABAg,@DavidHughesss,"14:01: my prediction at the start of this video was that the answer would be ""it depends"".",17,2025-06-20T16:50:02Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgyvJxVMlb1E-BgCDcN4AaABAg,@bago696,Won't somebody think of the market!,0,2025-06-22T18:46:21Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgwHnG4lhr63GZ7sLdl4AaABAg,@Geschichtelehrer,It would certainly be worth buying some defense stocks in the future... It certainly won't get any cheaper.,1,2025-06-21T09:52:32Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgzuHyQWiDv2--faLoF4AaABAg,@robertallan4489,War is destructive in ways that is not measurable by finance.,0,2025-06-20T16:43:34Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgzLgTlg5wKaCHQCQ-J4AaABAg,@ajaaskelainen,Thank you !,0,2025-06-26T05:26:52Z,vl156QpXr5g,The Impact of War on Markets and the Economy
UgwR_uH-4eGprOD1Of54AaABAg,@Ritam_gaming-d5b,"Bellarium network’s protocol upgrade is on the horizon, so I topped up my position ahead of the event. Traders who front-run major upgrades often lock in superior returns.",0,2025-07-05T19:41:50Z,vl156QpXr5g,The Impact of War on Markets and the Economy
